product_name,total_revenue,total_units_sold
Phased optimal flexibility,17038603.56,17076.0
Multi-layered national focus group,16822119.56,16889.0
Digitized neutral standardization,16810110.0,17000.0
Reduced scalable help-desk,16716955.47,17009.0
Progressive global project,16560923.52,16712.0
Face-to-face incremental archive,16557952.25,16765.0
Sharable 6thgeneration hierarchy,16461024.44,16463.0
Distributed multimedia matrix,16404640.77,16597.0
Cross-platform regional capability,16401830.94,16566.0
Business-focused composite strategy,16371041.28,16896.0
